date,electric vehicle,Tesla,EV charging,EV price
2024-02-11,2,38,0,12
2024-02-18,2,42,0,6
2024-02-25,1,44,0,5
2024-03-03,2,47,0,4
2024-03-10,2,46,0,6
2024-03-17,3,49,0,7
2024-03-24,3,46,0,10
2024-03-31,4,63,0,12
2024-04-07,2,48,0,7
2024-04-14,0,51,0,6
2024-04-21,3,54,2,7
2024-04-28,2,52,0,4
2024-05-05,0,58,0,6
2024-05-12,3,50,0,8
2024-05-19,2,45,0,5
2024-05-26,2,46,0,5
2024-06-02,2,39,0,10
2024-06-09,2,37,0,6
2024-06-16,0,39,0,5
2024-06-23,1,43,0,3
2024-06-30,2,49,0,5
2024-07-07,2,49,0,5
2024-07-14,2,52,0,4
2024-07-21,3,57,1,7
2024-07-28,0,43,0,5
2024-08-04,1,44,0,6
2024-08-11,2,41,0,8
2024-08-18,2,46,0,6
2024-08-25,0,42,0,6
2024-09-01,2,34,0,5
2024-09-08,2,40,2,4
2024-09-15,4,41,0,4
2024-09-22,2,43,0,6
2024-09-29,2,36,0,6
2024-10-06,2,45,2,6
2024-10-13,2,61,2,17
2024-10-20,2,71,0,20
2024-10-27,3,100,2,29
2024-11-03,3,70,2,11
2024-11-10,3,61,2,11
2024-11-17,3,59,0,17
2024-11-24,2,56,0,9
2024-12-01,2,77,0,9
2024-12-08,0,68,2,7
2024-12-15,3,60,0,6
2024-12-22,3,49,0,7
2024-12-29,2,55,0,6
2025-01-05,2,53,0,6
2025-01-12,3,46,2,9
2025-01-19,3,59,0,7
2025-01-26,3,58,0,6
2025-02-02,2,45,1,37
2025-02-09,2,42,1,8
